Date,Time,RSSI(dB),RxBt(V),GAlt(m),RPM(rpm),GPS(ait),GSpd(kts),Hdg(@),Tmp1(@C),Tmp2(@C),GAl2(m),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2020-04-10,10:27:12.110,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,1024,2,-1024,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x000000000000000F,7.5
2020-04-10,10:27:12.580,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,958,5,-1024,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x000000000000000D,7.5
2020-04-10,10:27:13.080,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,2,-809,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000015,7.5
2020-04-10,10:27:13.580,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:14.080,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:14.580,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,0,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:15.080,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:15.580,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:16.080,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:16.620,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:17.150,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:17.650,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:18.150,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:18.650,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:19.150,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:19.650,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:20.150,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:20.650,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:21.150,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:21.650,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:22.150,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:22.650,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:23.150,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,17,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:23.650,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-272,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
2020-04-10,10:27:24.150,0,0.0,0.0,0,0,0.0,0.00,0,0,0.0,2,5,-275,-3,0,-1024,18,-30,0,-1024,-1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000014,7.5
