Date,Time,Ptch(rad),Roll(rad),Yaw(rad),FM(...),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),VFAS(V),GSpd(kmh),Hdg(@),Bat_(%),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2020-04-17,19:39:13.220,0.01,0.02,0.19,0,30,30,100,78,2,25,25,100,71,50.379012 -4.793699,-1,11,11.4,0.0,0,11.4,0.0,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x0000000000000177,7.4
2020-04-17,19:39:13.690,0.01,0.02,0.19,0,30,30,100,78,2,25,25,100,69,50.379012 -4.793699,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x0000000000000177,7.4
2020-04-17,19:39:14.220,0.01,0.02,0.19,0,29,29,100,79,2,25,25,100,73,50.379013 -4.793699,-1,11,11.4,0.0,0,11.4,0.4,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x0000000000000177,7.4
2020-04-17,19:39:14.740,0.01,0.02,0.19,0,29,29,100,80,2,25,25,100,74,50.379013 -4.793699,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x0000000000000176,7.4
2020-04-17,19:39:15.260,0.01,0.02,0.19,0,29,29,100,75,2,25,25,100,72,50.379015 -4.793698,-1,11,11.4,0.0,0,11.4,0.1,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x0000000000000176,7.4
2020-04-17,19:39:15.790,0.01,0.02,0.20,0,29,29,100,84,2,25,25,100,75,50.379016 -4.793698,-1,11,11.4,0.0,0,11.4,0.0,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0x0000000000000176,7.4
2020-04-17,19:39:16.300,0.01,0.02,0.20,0,30,30,100,87,2,25,25,98,74,50.379016 -4.793698,-1,11,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:16.820,0.01,0.02,0.20,0,31,31,100,80,2,25,25,100,72,50.379017 -4.793698,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:17.330,0.01,0.02,0.20,0,29,29,100,81,2,25,25,100,72,50.379017 -4.793698,-1,11,11.4,0.0,0,11.4,0.5,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:17.860,0.01,0.02,0.20,0,31,31,100,76,2,25,25,100,72,50.379018 -4.793697,-1,11,11.4,0.0,0,11.4,0.5,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:18.360,0.01,0.02,0.20,0,29,29,100,78,2,25,25,100,73,50.379018 -4.793697,-1,11,11.4,0.0,0,11.4,0.7,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:18.880,0.01,0.02,0.20,0,29,29,100,79,2,25,25,100,74,50.379019 -4.793696,-1,11,11.4,0.0,0,11.4,0.6,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:19.400,0.01,0.02,0.20,0,30,30,100,78,2,25,25,100,71,50.379020 -4.793696,-1,10,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:19.950,0.01,0.02,0.20,0,30,30,100,53,2,25,25,100,73,50.379020 -4.793696,-1,10,11.4,0.0,0,11.4,0.1,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:20.470,0.01,0.02,0.20,0,30,30,100,82,2,25,25,100,72,50.379021 -4.793695,-1,10,11.4,0.0,0,11.4,0.0,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:21.000,0.01,0.02,0.20,0,30,30,100,70,2,25,25,100,71,50.379022 -4.793694,-1,10,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:21.530,0.01,0.02,0.21,0,30,30,100,76,2,25,25,100,71,50.379023 -4.793694,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:22.040,0.01,0.02,0.21,0,31,31,100,78,2,25,25,100,72,50.379025 -4.793692,-1,11,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:22.570,0.01,0.02,0.21,0,29,29,100,71,2,25,25,100,72,50.379026 -4.793692,-1,11,11.4,0.0,0,11.4,0.0,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:23.080,0.01,0.02,0.21,0,30,30,100,78,2,25,25,100,73,50.379026 -4.793691,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,0,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:23.590,0.01,0.02,0.21,0,29,29,100,79,2,25,25,100,71,50.379027 -4.793690,-1,10,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,0,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:24.090,0.01,0.02,0.21,0,29,29,100,77,2,25,25,100,69,50.379029 -4.793689,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,2,5,-1024,-3,-19,-1024,-18,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:24.600,0.01,0.02,0.21,0,30,30,100,76,2,25,25,100,71,50.379029 -4.793688,-1,11,11.4,0.0,0,11.4,0.5,16.59,50,0,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:25.110,0.01,0.02,0.21,0,30,30,100,80,2,25,25,100,72,50.379030 -4.793687,-1,11,11.4,0.0,0,11.4,0.5,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:25.610,0.01,0.02,0.21,0,29,29,100,78,2,25,25,100,74,50.379030 -4.793687,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,2,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:26.150,0.01,0.02,0.21,0,29,29,100,77,2,25,25,100,71,50.379032 -4.793685,-1,11,11.4,0.0,0,11.4,0.4,16.59,50,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:26.690,0.01,0.02,0.21,0,30,30,100,81,2,25,25,99,70,50.379033 -4.793685,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:27.220,0.01,0.02,0.22,0,30,30,100,75,2,25,25,100,71,50.379033 -4.793684,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:27.760,0.01,0.02,0.22,0,30,30,100,60,2,25,25,100,72,50.379035 -4.793682,-1,11,11.4,0.0,0,11.4,0.6,16.59,50,0,5,-1024,0,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:28.270,0.01,0.02,0.22,0,29,29,100,79,2,25,25,99,70,50.379035 -4.793681,-1,11,11.4,0.0,0,11.4,0.9,16.59,50,0,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:28.790,0.01,0.02,0.22,0,30,30,100,58,2,25,25,100,70,50.379036 -4.793681,-1,11,11.4,0.0,0,11.4,0.6,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:29.310,0.01,0.02,0.22,0,30,30,100,79,2,25,25,100,68,50.379038 -4.793679,-1,10,11.4,0.0,0,11.4,0.5,16.59,50,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:29.830,0.01,0.02,0.22,0,31,31,100,79,2,25,25,100,72,50.379039 -4.793678,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:30.330,0.01,0.02,0.22,0,29,29,100,82,2,25,25,100,71,50.379040 -4.793678,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:30.850,0.01,0.02,0.22,0,29,29,100,81,2,25,25,100,68,50.379041 -4.793677,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:31.350,0.01,0.02,0.22,0,29,29,100,73,2,25,25,100,71,50.379043 -4.793676,-1,11,11.4,0.0,0,11.4,0.1,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:31.860,0.01,0.02,0.23,0,29,29,100,76,2,25,25,100,71,50.379043 -4.793675,-1,11,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,0,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:32.430,0.01,0.02,0.23,0,29,29,100,77,2,25,25,100,70,50.379044 -4.793675,-1,11,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,0,-18,-1024,-18,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:32.950,0.01,0.02,0.23,0,30,30,100,78,2,25,25,100,72,50.379045 -4.793674,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:33.480,0.01,0.02,0.23,0,30,30,100,80,2,25,25,100,73,50.379045 -4.793673,-1,10,11.4,0.0,0,11.4,0.4,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
